日期,排名,电影ID,电影名称,影片英文名称,当前票房(万),累计票房(万),累计场次,累计人次(万),天数,票房占比,当前场次,当前人次(万),人次占比,累计上映天数,场均人次,场均收入,上映日期,黄金场票房(万),黄金场场次,黄金场人次(万),黄金场排座(万),黄金场场均人次,票房环比,场次环比,人次环比,场次占比,上午场票房(万),上午场场次,上午场人次(万),下午场票房(万),下午场场次,下午场人次(万),加映场票房(万),加映场场次,加映场人次(万),上座率,黄金场票房占比,黄金场场次占比,黄金场人次占比,黄金场上座率,票房占全国比,当前排座(万),排座占比
2023-10-25,57,39082,浏阳河上,Clean River,1110,2315471.04,1998,72303,1,0,2,37,0,651,19,555,2022-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.04,0,0,0,0,100,112,0
2023-10-25,58,27291,长江,The Changjiang River,1110,172996,86,5258,1,0,1,37,0,8912,37,1110,1999-06-02,0,0,0,0,0,117.65,0,117.65,0,0,0,0,1110,1,37,0,0,0,9.3,0,0,0,0,100,398,0
2023-10-25,59,38365,生命底色,THE PURSUIT OF LIFE,1020,156649.71,534,5584,1,0,1,34,0,147,34,1020,2023-06-01,0,0,0,0,0,-64.21,-50,-64.21,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,100,102,0
2023-10-25,60,38925,永安镇故事集,Ripples of Life,1009.96,3204943.47,44595,72311,1,0,14,23,0,48,2,72,2023-09-08,0,1,0,72,0,72.85,-22.22,53.33,0,0,1,0,1009.96,10,23,0,2,0,1.67,0,7.14,0,0,100,1380,0
2023-10-25,61,39392,此生有约,Promise Through Lifetime,900,587296.3,544,21418,1,0,1,30,0,120,30,900,2023-06-28,0,0,0,0,0,0,0,0,0,0,0,0,900,1,30,0,0,0,81.08,0,0,0,0,100,37,0
2023-10-25,62,39739,爸爸的谎言,Lies My Father Told Me,861.9,112513.59,9901,3935,1,0,224,29,0,6,0,4,2023-10-20,216,32,7,4102,0,-80.69,-14.83,-82.1,0.07,23.47,34,1,387.43,108,13,85,18,3,0.13,25.06,14.29,24.14,0.17,100,21930,0.05
2023-10-25,63,39748,速度与爱情,Fast & Feel Love,734.9,515938.28,20375,13659,1,0,176,29,0,13,0,4,2023-10-13,83,23,4,2515,0,-40.84,-6.88,-29.27,0.05,172.6,40,7,343.3,82,12,136,18,6,0.17,11.29,13.07,13.79,0.16,100,17148,0.04
2023-10-25,64,1801,追鱼,,730,17867,58,952,1,0,2,73,0.01,,37,365,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.22,0,0,0,0,100,361,0
2023-10-25,65,39708,鹦鹉杀,Dancing Green,646.4,39235501.56,455124,954497,1,0,72,16,0,41,0,9,2023-09-15,89.6,11,2,1059,0,-63.2,12.5,-63.64,0.02,0,9,0,433.8,32,11,123,15,3,0.22,13.86,15.28,12.5,0.19,100,7167,0.02
2023-10-25,66,38742,落地生根,Rooting,630,1128546.07,5353,35256,1,0,6,21,0,189,4,105,2023-04-20,0,0,0,0,0,-54.35,-14.29,-56.25,0,0,1,0,0,3,0,0,0,0,4.7,0,0,0,0,100,447,0
2023-10-25,67,39678,高原之春,Wild Love,620,120529.62,115,5647,1,0,1,31,0,57,31,620,2023-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,100,93,0
2023-10-25,68,39514,北京2022,Beijing 2022,500,30514918.96,42110,996487,1,0,20,16,0,160,1,25,2023-05-19,0,0,0,0,0,-7.41,0,-11.11,0.01,240,12,8,90,3,3,170,4,5,0.81,0,0,0,0,100,1983,0
2023-10-25,69,39692,GT赛车：极速狂飙,Gran Turismo,469.3,13470422.95,130517,373115,1,0,20,17,0,55,1,23,2023-09-01,25,2,1,334,1,-21.34,0,-19.05,0.01,0,2,0,404.3,12,15,40,3,1,0.79,5.33,10,5.88,0.3,100,2139,0.01
2023-10-25,70,39629,2023-2024环球经典IP影片复映活动,2023-2024 Universal Classic IP Film Rescreening Activity,400,60185,136,1277,1,0,5,8,0,,2,80,,0,0,0,0,0,-55.56,0,-57.89,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,100,24,0
2023-10-25,71,39410,一山之隔,One Mountain Away,360,1562885.6,4067,54073,1,0,1,18,0,222,18,360,2023-03-18,0,0,0,0,0,0,0,0,0,0,0,0,360,1,18,0,0,0,30,0,0,0,0,100,60,0
2023-10-25,72,39744,疯狂大营救,Pil’s Adventures,336.7,813694.33,8045,24541,1,0,77,15,0,27,0,4,2023-09-29,96,11,4,1387,0,-75.2,13.24,-77.27,0.02,63.8,17,3,176.9,39,8,0,0,0,0.23,28.51,14.29,26.67,0.29,100,6591,0.02
2023-10-25,73,39719,流水落花,Lost Love,330,276545.32,4749,7436,1,0,6,12,0,41,2,55,2023-09-15,0,1,0,63,0,-63.74,50,-72.09,0,120,2,6,210,3,6,0,0,0,2.53,0,16.67,0,0,100,475,0
2023-10-25,74,38774,我们的岁月,Go With The Times,330,10197519.7,6943,299497,1,0,1,11,0,223,11,330,2023-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,100,33,0
2023-10-25,75,39703,青木劫,Qing Mu Jie,244.6,739568.52,18591,24390,1,0,22,11,0,47,1,11,2023-09-09,0,0,0,0,0,-9.68,-4.35,0,0.01,0,1,0,0,2,0,244.6,16,11,0.6,0,0,0,0,100,1819,0
2023-10-25,76,34031,午夜迷途,Lost in midnight,209,2879621.3,40415,97154,1,0,16,7,0,132,0,13,2023-06-16,0,0,0,0,0,-51.58,-11.11,-53.33,0,0,1,0,0,2,0,209,13,7,0.42,0,0,0,0,100,1656,0
2023-10-25,77,24920,老兵新传,,186,13214.67,1154,1089,1,0,2,17,0,,9,93,,0,0,0,0,0,0,0,0,0,186,2,17,0,0,0,0,0,0,5.14,0,0,0,0,100,331,0
2023-10-25,78,39706,三贵情史,Flaming Cloud,154.8,4851413.72,118637,118396,1,0,12,4,0,47,0,13,2023-09-09,79.2,2,2,207,1,95.45,9.09,100,0,0,4,0,75.6,4,2,0,2,0,0.36,51.16,16.67,50,0.97,100,1103,0
2023-10-25,79,39732,曾经炽热的我们,Someone In Glowing Twenties,150,638818,12926,17329,1,0,12,5,0,40,0,13,2023-09-16,120,5,4,409,1,-28.57,9.09,-28.57,0,30,2,1,0,4,0,0,1,0,0.47,80,41.67,80,0.98,100,1059,0
2023-10-25,80,39775,水让我重生,Above Water,135,7646,57,268,1,0,13,3,0,4,0,10,2023-10-22,0,1,0,103,0,-98.08,-38.1,-98.79,0,0,1,0,135,10,3,0,0,0,0.27,0,7.69,0,0,100,1095,0
